Time (s), Voltage (V)
-1.856249999999999914e-02,2.881147011710288516e-02
-1.855000000000000052e-02,2.881064774287017682e-02
-1.853749999999999842e-02,2.881122407075982494e-02
-1.852499999999999980e-02,2.881101758816678737e-02
-1.851250000000000118e-02,2.881036538992900672e-02
-1.849999999999999908e-02,2.881015979297323754e-02
-1.848750000000000046e-02,2.880989646877563440e-02
-1.847499999999999837e-02,2.880868275612076881e-02
-1.846249999999999974e-02,2.880890943396171092e-02
-1.845000000000000112e-02,2.880939502819940962e-02
-1.843749999999999903e-02,2.880862685224977460e-02
-1.842500000000000041e-02,2.880849990260200139e-02
-1.841249999999999831e-02,2.880850066819125310e-02
-1.839999999999999969e-02,2.880944897279611588e-02
-1.838750000000000107e-02,2.881093522843044402e-02
-1.837499999999999897e-02,2.881171315771536429e-02
-1.836250000000000035e-02,2.881362035153629125e-02
-1.835000000000000173e-02,2.881596666968618686e-02
-1.833749999999999963e-02,2.881806756891380425e-02
-1.832500000000000101e-02,2.882053358399908408e-02
-1.831249999999999892e-02,2.882273757729450839e-02
-1.830000000000000029e-02,2.882489234184184429e-02
-1.828750000000000167e-02,2.882692509909569323e-02
-1.827499999999999958e-02,2.882928476975641502e-02
-1.826250000000000095e-02,2.883135012117999524e-02
-1.824999999999999886e-02,2.883236770255215992e-02
-1.823750000000000024e-02,2.883423839271501837e-02
-1.822500000000000162e-02,2.883790982128644348e-02
-1.821249999999999952e-02,2.884029840539934636e-02
-1.820000000000000090e-02,2.884201677274628173e-02
-1.818749999999999881e-02,2.884540303064566519e-02
-1.817500000000000018e-02,2.884681688146900624e-02
-1.816250000000000156e-02,2.884856405807550289e-02
-1.814999999999999947e-02,2.884933999184523951e-02
-1.813750000000000084e-02,2.885086657681884548e-02
-1.812499999999999875e-02,2.885167705270731686e-02
-1.811250000000000013e-02,2.885345477134194231e-02
-1.810000000000000150e-02,2.885462373553139212e-02
-1.808749999999999941e-02,2.885505373847596991e-02
-1.807500000000000079e-02,2.885528727037929911e-02
-1.806249999999999870e-02,2.885700530476285885e-02
